year,sex,age,population
2015,Female,53,28758
2016,Female,53,29711
2017,Female,53,30394
2018,Female,53,31063
1926,Male,54,14480
1936,Male,54,15517
1946,Male,54,12785
1951,Male,54,15498
1961,Male,54,15184
1966,Male,54,16727
1971,Male,54,16166
1979,Male,54,15515
1981,Male,54,14625
1986,Male,54,14167
1991,Male,54,15365
1996,Male,54,16714
1997,Male,54,18024
1998,Male,54,18874
1999,Male,54,19666
2000,Male,54,21980
2001,Male,54,22916
2002,Male,54,23113
2003,Male,54,23031
2004,Male,54,23156
2005,Male,54,23672
2006,Male,54,23693
2007,Male,54,24840
2008,Male,54,24608
2009,Male,54,25323
2010,Male,54,25367
2011,Male,54,26174
2012,Male,54,26284
2013,Male,54,26642
2014,Male,54,27371
2015,Male,54,28448
2016,Male,54,28184
2017,Male,54,28921
2018,Male,54,29478
1926,Female,54,13338
1936,Female,54,15062
1946,Female,54,12080
1951,Female,54,14890
1961,Female,54,14312
1966,Female,54,15299
1971,Female,54,16002
1979,Female,54,15774
1981,Female,54,15198
1986,Female,54,13640
1991,Female,54,15067
1996,Female,54,15760
1997,Female,54,17832
1998,Female,54,18149
1999,Female,54,19210
2000,Female,54,21148
2001,Female,54,21510
2002,Female,54,22272
2003,Female,54,22789
2004,Female,54,23181
2005,Female,54,22673
2006,Female,54,23139
2007,Female,54,24258
2008,Female,54,24222
2009,Female,54,25287
2010,Female,54,25382
2011,Female,54,25992
2012,Female,54,26769
2013,Female,54,26675
2014,Female,54,27859
2015,Female,54,28768
2016,Female,54,28504
2017,Female,54,29704
2018,Female,54,30371
1926,Male,55,17606
1936,Male,55,16414
1946,Male,55,14451
1951,Male,55,14405
1961,Male,55,14803
1966,Male,55,17466
1971,Male,55,15574
1979,Male,55,14939
1981,Male,55,14473
1986,Male,55,14791
1991,Male,55,14958
1996,Male,55,15963
1997,Male,55,16656
1998,Male,55,17840
1999,Male,55,18567
2000,Male,55,19095
2001,Male,55,21295
2002,Male,55,22256
2003,Male,55,23128
2004,Male,55,22862
2005,Male,55,23249
2006,Male,55,23436
2007,Male,55,23706
2008,Male,55,24825
2009,Male,55,24522
2010,Male,55,25143
2011,Male,55,25231
2012,Male,55,25981
2013,Male,55,26107
2014,Male,55,26484
2015,Male,55,27136
2016,Male,55,28168
2017,Male,55,28152
2018,Male,55,28778
1926,Female,55,14592
1936,Female,55,14237
1946,Female,55,14045
1951,Female,55,14204
1961,Female,55,14423
1966,Female,55,15923
1971,Female,55,15057
1979,Female,55,15268
1981,Female,55,15016
1986,Female,55,14342
1991,Female,55,14800
1996,Female,55,15372
1997,Female,55,15761
1998,Female,55,17891
1999,Female,55,18113
2000,Female,55,19235
2001,Female,55,21154
2002,Female,55,21495
2003,Female,55,22318
2004,Female,55,22792
2005,Female,55,23379
2006,Female,55,22782
2007,Female,55,23081
2008,Female,55,24301
2009,Female,55,24252
2010,Female,55,25269
2011,Female,55,25307
2012,Female,55,25897
2013,Female,55,26577
2014,Female,55,26605
2015,Female,55,27815
2016,Female,55,28721
2017,Female,55,28493
2018,Female,55,29665
1926,Male,56,15826
1936,Male,56,16628
1946,Male,56,13302
1951,Male,56,13545
1961,Male,56,14004
1966,Male,56,15492
1971,Male,56,16117
1979,Male,56,15519
1981,Male,56,14877
1986,Male,56,14369
1991,Male,56,14473
1996,Male,56,16416
1997,Male,56,15792
1998,Male,56,16603
1999,Male,56,17806
2000,Male,56,18546
2001,Male,56,19096
2002,Male,56,21287
2003,Male,56,22337
2004,Male,56,22977
2005,Male,56,22815
2006,Male,56,22955
2007,Male,56,23428
2008,Male,56,23709
2009,Male,56,24659
2010,Male,56,24369
2011,Male,56,25035
2012,Male,56,25006
2013,Male,56,25801
2014,Male,56,25749
2015,Male,56,25977
2016,Male,56,26932
2017,Male,56,28104
2018,Male,56,28080
1926,Female,56,14069
1936,Female,56,15178
1946,Female,56,12882
1951,Female,56,12962
1961,Female,56,13959
1966,Female,56,14333
1971,Female,56,16077
1979,Female,56,15956
1981,Female,56,15398
1986,Female,56,14323
1991,Female,56,14244
1996,Female,56,15822
1997,Female,56,15333
1998,Female,56,15637
1999,Female,56,17771
2000,Female,56,17819
2001,Female,56,19002
2002,Female,56,20806
2003,Female,56,21422
2004,Female,56,22103
2005,Female,56,22620
2006,Female,56,22970
2007,Female,56,22760
2008,Female,56,23123
2009,Female,56,24261
2010,Female,56,24236
2011,Female,56,25209
2012,Female,56,25214
2013,Female,56,25698
2014,Female,56,26306
2015,Female,56,26221
2016,Female,56,27655
2017,Female,56,28716
2018,Female,56,28402
1926,Male,57,10540
1936,Male,57,12921
1946,Male,57,13480
1951,Male,57,12404
1961,Male,57,13676
1966,Male,57,15040
1971,Male,57,14956
1979,Male,57,14922
1981,Male,57,14324
1986,Male,57,14039
1991,Male,57,14275
1996,Male,57,15717
1997,Male,57,16392
1998,Male,57,15791
1999,Male,57,16796
2000,Male,57,18078
2001,Male,57,18923
2002,Male,57,19600
2003,Male,57,21311
2004,Male,57,22374
2005,Male,57,22957
2006,Male,57,22699
2007,Male,57,22970
2008,Male,57,23391
2009,Male,57,23632
2010,Male,57,24445
2011,Male,57,24181
2012,Male,57,24802
2013,Male,57,24802
2014,Male,57,25821
2015,Male,57,26256
2016,Male,57,27007
2017,Male,57,26915
2018,Male,57,28024
1926,Female,57,9364
1936,Female,57,12018
1946,Female,57,13576
1951,Female,57,12235
1961,Female,57,13449
1966,Female,57,14190
1971,Female,57,14663
1979,Female,57,15208
1981,Female,57,15036
1986,Female,57,14402
1991,Female,57,13910
1996,Female,57,15392
1997,Female,57,15869
1998,Female,57,15422
1999,Female,57,15688
2000,Female,57,17813
2001,Female,57,18024
2002,Female,57,19084
2003,Female,57,20630
2004,Female,57,21233
2005,Female,57,21908
2006,Female,57,22281
2007,Female,57,22949
2008,Female,57,22701
2009,Female,57,23114
2010,Female,57,24151
2011,Female,57,24042
2012,Female,57,25095
2013,Female,57,25046
2014,Female,57,25797
2015,Female,57,26790
2016,Female,57,27042
2017,Female,57,27643
2018,Female,57,28636
1926,Male,58,13508
1936,Male,58,15438
1946,Male,58,12166
1951,Male,58,11894
1961,Male,58,13188
1966,Male,58,13573
1971,Male,58,16095
1979,Male,58,15297
1981,Male,58,14865
1986,Male,58,13405
1991,Male,58,14185
1996,Male,58,14698
1997,Male,58,15686
1998,Male,58,16268
1999,Male,58,15777
2000,Male,58,16710
2001,Male,58,17949
2002,Male,58,18808
2003,Male,58,19414
2004,Male,58,21060
2005,Male,58,22101
2006,Male,58,22426
2007,Male,58,22695
2008,Male,58,22806
2009,Male,58,23209
2010,Male,58,23350
2011,Male,58,24223
2012,Male,58,23982
2013,Male,58,24599
2014,Male,58,24630
2015,Male,58,25421
2016,Male,58,25705
2017,Male,58,26981
2018,Male,58,26837
1926,Female,58,12012
1936,Female,58,14508
1946,Female,58,12125
1951,Female,58,11752
1961,Female,58,12983
1966,Female,58,12928
1971,Female,58,15665
1979,Female,58,15750
1981,Female,58,15634
1986,Female,58,13852
1991,Female,58,14198
1996,Female,58,14481
1997,Female,58,15476
1998,Female,58,15975
1999,Female,58,15639
2000,Female,58,15867
2001,Female,58,18117
2002,Female,58,18351
2003,Female,58,19056
2004,Female,58,20491
2005,Female,58,21224
2006,Female,58,21681
2007,Female,58,22283
2008,Female,58,22981
2009,Female,58,22733
2010,Female,58,23187
2011,Female,58,24204
2012,Female,58,23897
2013,Female,58,24916
2014,Female,58,24988
2015,Female,58,25558
2016,Female,58,26276
2017,Female,58,27035
2018,Female,58,27576
1926,Male,59,9641
1936,Male,59,13688
1946,Male,59,14386
1951,Male,59,12780
1961,Male,59,12948
1966,Male,59,14244
1971,Male,59,15687
1979,Male,59,15450
1981,Male,59,14750
1986,Male,59,13910
1991,Male,59,13774
1996,Male,59,15015
1997,Male,59,14666
1998,Male,59,15656
1999,Male,59,16269
2000,Male,59,15742
2001,Male,59,16734
2002,Male,59,17876
2003,Male,59,18757
2004,Male,59,19188
2005,Male,59,20855
2006,Male,59,21713
2007,Male,59,22357
2008,Male,59,22529
2009,Male,59,22670
2010,Male,59,22985
2011,Male,59,23130
2012,Male,59,24044
2013,Male,59,23797
2014,Male,59,24472
2015,Male,59,24466
2016,Male,59,25299
2017,Male,59,25699
2018,Male,59,26890
1926,Female,59,8555
1936,Female,59,12411
1946,Female,59,14446
1951,Female,59,12667
1961,Female,59,12690
1966,Female,59,13875
1971,Female,59,14956
1979,Female,59,15756
1981,Female,59,15233
1986,Female,59,14782
1991,Female,59,13732
1996,Female,59,14931
1997,Female,59,14453
1998,Female,59,15357
1999,Female,59,15768
2000,Female,59,15347
2001,Female,59,15528
2002,Female,59,17731
2003,Female,59,18180
2004,Female,59,18808
2005,Female,59,20318
2006,Female,59,20946
2007,Female,59,21625
2008,Female,59,22224
2009,Female,59,22687
2010,Female,59,22453
2011,Female,59,22818
2012,Female,59,24069
2013,Female,59,23784
2014,Female,59,24826
2015,Female,59,24914
2016,Female,59,25408
2017,Female,59,26266
2018,Female,59,26988
1926,Male,60,20141
1936,Male,60,18370
1946,Male,60,12818
1951,Male,60,13269
1961,Male,60,15718
1966,Male,60,13344
1971,Male,60,16008
1979,Male,60,13962
1981,Male,60,14890
1986,Male,60,13443
1991,Male,60,14090
1996,Male,60,14532
1997,Male,60,14929
1998,Male,60,14535
1999,Male,60,15518
2000,Male,60,16038
2001,Male,60,15503
2002,Male,60,16516
2003,Male,60,17768
2004,Male,60,18690
2005,Male,60,19105
2006,Male,60,20806
2007,Male,60,21597
2008,Male,60,22179
2009,Male,60,22303
2010,Male,60,22413
2011,Male,60,22775
2012,Male,60,22869
2013,Male,60,23831
2014,Male,60,23588
2015,Male,60,24367
2016,Male,60,24641
2017,Male,60,25254
2018,Male,60,25572
1926,Female,60,19644
1936,Female,60,17735
1946,Female,60,12496
1951,Female,60,12803
1961,Female,60,16320
1966,Female,60,13039
1971,Female,60,15046
1979,Female,60,14568
1981,Female,60,15580
1986,Female,60,14527
1991,Female,60,14071
1996,Female,60,14572
1997,Female,60,14934
1998,Female,60,14457
1999,Female,60,15438
2000,Female,60,15942
2001,Female,60,15635
2002,Female,60,15894
2003,Female,60,17687
2004,Female,60,18268
2005,Female,60,19022
2006,Female,60,20303
2007,Female,60,20923
2008,Female,60,21616
2009,Female,60,22101
2010,Female,60,22582
2011,Female,60,22321
2012,Female,60,22664
2013,Female,60,23851
2014,Female,60,23646
2015,Female,60,24731
2016,Female,60,24843
2017,Female,60,25375
2018,Female,60,26211
1926,Male,61,6720
1936,Male,61,10987
1946,Male,61,11956
1951,Male,61,11934
1961,Male,61,12849
1966,Male,61,12626
1971,Male,61,14132
1979,Male,61,12641
1981,Male,61,14355
1986,Male,61,13622
1991,Male,61,13520
1996,Male,61,13920
1997,Male,61,14591
1998,Male,61,14904
1999,Male,61,14551
2000,Male,61,15821
2001,Male,61,16167
2002,Male,61,15808
2003,Male,61,16557
2004,Male,61,17811
2005,Male,61,18749
2006,Male,61,18991
2007,Male,61,20694
2008,Male,61,21424
2009,Male,61,21936
2010,Male,61,21977
2011,Male,61,22069
2012,Male,61,22483
2013,Male,61,22565
2014,Male,61,23607
2015,Male,61,23268
2016,Male,61,24265
2017,Male,61,24570
2018,Male,61,25160
1926,Female,61,6059
1936,Female,61,9684
1946,Female,61,11906
1951,Female,61,11643
1961,Female,61,13068
1966,Female,61,12838
1971,Female,61,13550
1979,Female,61,12750
1981,Female,61,15124
1986,Female,61,14818
1991,Female,61,13970
1996,Female,61,14040
1997,Female,61,14521
1998,Female,61,14898
1999,Female,61,14351
2000,Female,61,15300
2001,Female,61,15801
2002,Female,61,15486
2003,Female,61,15799
2004,Female,61,17515
2005,Female,61,18153
2006,Female,61,18684
2007,Female,61,20262
2008,Female,61,20859
2009,Female,61,21427
2010,Female,61,21929
2011,Female,61,22315
2012,Female,61,22182
2013,Female,61,22463
2014,Female,61,23762
2015,Female,61,23533
2016,Female,61,24596
2017,Female,61,24788
2018,Female,61,25287
1926,Male,62,9162
1936,Male,62,13279
1946,Male,62,11274
1951,Male,62,12272
1961,Male,62,12424
1966,Male,62,12075
1971,Male,62,13344
1979,Male,62,14069
1981,Male,62,13356
1986,Male,62,13347
1991,Male,62,13063
1996,Male,62,13757
1997,Male,62,13785
1998,Male,62,14390
1999,Male,62,14754
2000,Male,62,14344
2001,Male,62,15612
2002,Male,62,15885
2003,Male,62,15755
2004,Male,62,16315
2005,Male,62,17387
2006,Male,62,18086
2007,Male,62,18973
2008,Male,62,20662
2009,Male,62,21400
2010,Male,62,21852
2011,Male,62,21946
2012,Male,62,21788
2013,Male,62,22220
2014,Male,62,22389
2015,Male,62,23385
2016,Male,62,23286
2017,Male,62,24203
2018,Male,62,24436
1926,Female,62,8854
1936,Female,62,11986
1946,Female,62,11196
1951,Female,62,12558
1961,Female,62,12786
1966,Female,62,12486
1971,Female,62,12756
1979,Female,62,14412
1981,Female,62,14115
1986,Female,62,14388
1991,Female,62,13610
1996,Female,62,13673
1997,Female,62,14097
1998,Female,62,14505
1999,Female,62,14786
2000,Female,62,14329
2001,Female,62,15157
2002,Female,62,15713
2003,Female,62,15442
2004,Female,62,15755
2005,Female,62,17409
2006,Female,62,17812
2007,Female,62,18638
2008,Female,62,20203
2009,Female,62,20745
2010,Female,62,21336
2011,Female,62,21773
2012,Female,62,22186
2013,Female,62,21963
2014,Female,62,22334
2015,Female,62,23655
2016,Female,62,23430
2017,Female,62,24596
2018,Female,62,24692
1926,Male,63,8212
1936,Male,63,12375
1946,Male,63,11626
1951,Male,63,11580
1961,Male,63,11255
1966,Male,63,12100
1971,Male,63,12215
1979,Male,63,13225
1981,Male,63,12011
1986,Male,63,13571
1991,Male,63,12450
1996,Male,63,13438
1997,Male,63,13578
1998,Male,63,13533
1999,Male,63,14028
2000,Male,63,14413
2001,Male,63,13873
2002,Male,63,15089
2003,Male,63,15692
2004,Male,63,15571
2005,Male,63,16073
2006,Male,63,17043
2007,Male,63,18008
2008,Male,63,18837
2009,Male,63,20504
2010,Male,63,21108
2011,Male,63,21562
2012,Male,63,21667
2013,Male,63,21530
2014,Male,63,22015
2015,Male,63,22173
2016,Male,63,23353
2017,Male,63,23221
2018,Male,63,24106
1926,Female,63,7955
1936,Female,63,11082
1946,Female,63,11752
1951,Female,63,11535
1961,Female,63,11846
1966,Female,63,12169
1971,Female,63,12142
1979,Female,63,13287
1981,Female,63,12621
1986,Female,63,14911
1991,Female,63,13332
1996,Female,63,13694
1997,Female,63,13582
1998,Female,63,13999
1999,Female,63,14442
2000,Female,63,14863
2001,Female,63,14356
2002,Female,63,15226
2003,Female,63,15628
2004,Female,63,15317
2005,Female,63,15643
2006,Female,63,17120
2007,Female,63,17752
2008,Female,63,18583
2009,Female,63,20116
2010,Female,63,20729
2011,Female,63,21270
2012,Female,63,21631
2013,Female,63,21966
2014,Female,63,21854
2015,Female,63,22212
2016,Female,63,23580
2017,Female,63,23438
2018,Female,63,24535
1926,Male,64,9436
1936,Male,64,13099
1946,Male,64,12259
1951,Male,64,12291
1961,Male,64,12189
1966,Male,64,11486
1971,Male,64,12432
1979,Male,64,13907
1981,Male,64,13366
1986,Male,64,13236
1991,Male,64,12468
1996,Male,64,13043
1997,Male,64,13307
1998,Male,64,13504
1999,Male,64,13644
2000,Male,64,14161
2001,Male,64,14777
2002,Male,64,14261
2003,Male,64,14884
2004,Male,64,15370
2005,Male,64,15409
2006,Male,64,15715
2007,Male,64,16865
2008,Male,64,17874
2009,Male,64,18793
2010,Male,64,20278
2011,Male,64,20808
2012,Male,64,21282
2013,Male,64,21390
2014,Male,64,21348
2015,Male,64,21788
2016,Male,64,22202
2017,Male,64,23299
2018,Male,64,23128
1926,Female,64,8963
1936,Female,64,11781
1946,Female,64,11942
1951,Female,64,12175
1961,Female,64,12605
1966,Female,64,11677
1971,Female,64,12441
1979,Female,64,14855
1981,Female,64,13848
1986,Female,64,14115
1991,Female,64,13992
1996,Female,64,13277
1997,Female,64,13622
1998,Female,64,13602
1999,Female,64,13967
2000,Female,64,14479
2001,Female,64,14866
2002,Female,64,14374
2003,Female,64,15054
2004,Female,64,15373
2005,Female,64,15135
2006,Female,64,15218
2007,Female,64,16962
2008,Female,64,17582
2009,Female,64,18383
2010,Female,64,19800
2011,Female,64,20265
2012,Female,64,21150
2013,Female,64,21414
2014,Female,64,21851
2015,Female,64,21729
2016,Female,64,22274
2017,Female,64,23556
2018,Female,64,23392
1926,Male,65,12619
1936,Male,65,14967
1946,Male,65,12946
1951,Male,65,11572
1961,Male,65,11394
1966,Male,65,13244
1971,Male,65,12164
1979,Male,65,13309
1981,Male,65,13102
1986,Male,65,13428
1991,Male,65,12536
1996,Male,65,12982
1997,Male,65,12874
1998,Male,65,13033
1999,Male,65,13115
2000,Male,65,13157
2001,Male,65,13567
2002,Male,65,14110
2003,Male,65,14e3
2004,Male,65,14699
2005,Male,65,15303
2006,Male,65,15044
2007,Male,65,15471
2008,Male,65,16685
2009,Male,65,17735
2010,Male,65,18517
2011,Male,65,19860
2012,Male,65,20505
2013,Male,65,21017
2014,Male,65,21151
2015,Male,65,21106
2016,Male,65,21813
2017,Male,65,21977
2018,Male,65,23051
1926,Female,65,11942
1936,Female,65,13143
1946,Female,65,12607
1951,Female,65,11250
1961,Female,65,11857
1966,Female,65,14389
1971,Female,65,12536
1979,Female,65,14207
1981,Female,65,13679
1986,Female,65,14831
1991,Female,65,14124
1996,Female,65,13505
1997,Female,65,13240
1998,Female,65,13431
1999,Female,65,13375
2000,Female,65,13662
2001,Female,65,14178
2002,Female,65,14442
2003,Female,65,14280
2004,Female,65,14944
2005,Female,65,15518
2006,Female,65,14886
2007,Female,65,15046
2008,Female,65,16941
2009,Female,65,17540
2010,Female,65,18370
2011,Female,65,19698
2012,Female,65,20101
2013,Female,65,20971
2014,Female,65,21213
2015,Female,65,21723
2016,Female,65,21716
2017,Female,65,22169
2018,Female,65,23397
1926,Male,66,9348
1936,Male,66,11436
1946,Male,66,11758
1951,Male,66,10616
1961,Male,66,10453
1966,Male,66,11052
1971,Male,66,11325
1979,Male,66,13854
1981,Male,66,13495
1986,Male,66,13049
1991,Male,66,12548
1996,Male,66,12722
1997,Male,66,12756
1998,Male,66,12716
1999,Male,66,12937
2000,Male,66,13044
2001,Male,66,12967
2002,Male,66,13446
2003,Male,66,13801
2004,Male,66,13604
2005,Male,66,14403
2006,Male,66,14786
2007,Male,66,14824
2008,Male,66,15261
2009,Male,66,16540
2010,Male,66,17465
2011,Male,66,18066
2012,Male,66,19568
2013,Male,66,20276
2014,Male,66,20781
2015,Male,66,20916
2016,Male,66,21091
2017,Male,66,21520
2018,Male,66,21743
1926,Female,66,8872
1936,Female,66,9978
1946,Female,66,11101
1951,Female,66,10623
1961,Female,66,10732
1966,Female,66,11793
1971,Female,66,11858
1979,Female,66,14539
1981,Female,66,14949
1986,Female,66,14593
1991,Female,66,14300
1996,Female,66,13496
1997,Female,66,13378
1998,Female,66,13113
1999,Female,66,13244
2000,Female,66,13168
2001,Female,66,13462
2002,Female,66,14025
2003,Female,66,14359
2004,Female,66,14094
2005,Female,66,14670
2006,Female,66,14965
2007,Female,66,14670
2008,Female,66,15021
2009,Female,66,16886
2010,Female,66,17464
2011,Female,66,18183
2012,Female,66,19532
2013,Female,66,19970
2014,Female,66,20803
2015,Female,66,21134
2016,Female,66,21816
2017,Female,66,21543
2018,Female,66,21997
1926,Male,67,8316
1936,Male,67,10254
1946,Male,67,11118
1951,Male,67,10429
1961,Male,67,9839
1966,Male,67,10868
1971,Male,67,10754
1979,Male,67,13171
1981,Male,67,12594
1986,Male,67,12111
1991,Male,67,12279
1996,Male,67,11994
1997,Male,67,12535
1998,Male,67,12655
1999,Male,67,12635
2000,Male,67,12819
2001,Male,67,13109
2002,Male,67,13044
2003,Male,67,13123
2004,Male,67,13476
2005,Male,67,13366
2006,Male,67,13992
2007,Male,67,14641
2008,Male,67,14585
2009,Male,67,15192
2010,Male,67,16365
2011,Male,67,17137
2012,Male,67,17872
2013,Male,67,19351
2014,Male,67,20072
2015,Male,67,20568
2016,Male,67,20756
2017,Male,67,20772
2018,Male,67,21253
1926,Female,67,7919
1936,Female,67,9011
1946,Female,67,10897
1951,Female,67,10169
1961,Female,67,10144
1966,Female,67,11417
1971,Female,67,11396
1979,Female,67,13722
1981,Female,67,13868
1986,Female,67,13604
1991,Female,67,13862
1996,Female,67,13174
1997,Female,67,13371
1998,Female,67,13407
1999,Female,67,13097
2000,Female,67,13350
2001,Female,67,13304
2002,Female,67,13688
2003,Female,67,13934
2004,Female,67,14280
2005,Female,67,14136
2006,Female,67,14412
2007,Female,67,14780
2008,Female,67,14621
2009,Female,67,15128
2010,Female,67,16778
2011,Female,67,17249
2012,Female,67,17983
2013,Female,67,19385
2014,Female,67,19815
2015,Female,67,20712
2016,Female,67,21005
2017,Female,67,21615
2018,Female,67,21371
1926,Male,68,11273
1936,Male,68,12254
1946,Male,68,10777
1951,Male,68,10493
1961,Male,68,9556
1966,Male,68,9498
1971,Male,68,10352
1979,Male,68,12764
1981,Male,68,12786
1986,Male,68,10742
1991,Male,68,11936
1996,Male,68,11269
1997,Male,68,11745
1998,Male,68,12233
1999,Male,68,12358
2000,Male,68,12129
2001,Male,68,12337
2002,Male,68,12534
2003,Male,68,12764
2004,Male,68,12930
2005,Male,68,13358
2006,Male,68,13168
2007,Male,68,13875
2008,Male,68,14351
2009,Male,68,14441
2010,Male,68,14981
2011,Male,68,15977
2012,Male,68,16884
2013,Male,68,17618
2014,Male,68,19101
2015,Male,68,19802
2016,Male,68,20365
2017,Male,68,20488
2018,Male,68,20554
1926,Female,68,10990
1936,Female,68,10867
1946,Female,68,9990
1951,Female,68,10254
1961,Female,68,9532
1966,Female,68,10223
1971,Female,68,10761
1979,Female,68,13284
1981,Female,68,13797
1986,Female,68,11954
1991,Female,68,14141
1996,Female,68,13100
1997,Female,68,13004
1998,Female,68,13235
1999,Female,68,13231
2000,Female,68,12964
2001,Female,68,13221
2002,Female,68,13166
2003,Female,68,13509
2004,Female,68,13684
2005,Female,68,14030
2006,Female,68,13578
2007,Female,68,14281
2008,Female,68,14677
2009,Female,68,14523
2010,Female,68,14990
2011,Female,68,16487
2012,Female,68,17067
2013,Female,68,17852
2014,Female,68,19176
2015,Female,68,19697
2016,Female,68,20416
2017,Female,68,20827
2018,Female,68,21461
1926,Male,69,9943
1936,Male,69,11145
1946,Male,69,11868
1951,Male,69,11035
1961,Male,69,9899
1966,Male,69,10384
1971,Male,69,9898
1979,Male,69,11896
1981,Male,69,12329
1986,Male,69,11750
1991,Male,69,11657
1996,Male,69,11289
1997,Male,69,10963
1998,Male,69,11555
1999,Male,69,11928
2000,Male,69,12110
2001,Male,69,12027
2002,Male,69,12156
2003,Male,69,12276
2004,Male,69,12571
2005,Male,69,12698
2006,Male,69,12869
2007,Male,69,13082
2008,Male,69,13527
2009,Male,69,14117
2010,Male,69,14168
2011,Male,69,14571
2012,Male,69,15772
2013,Male,69,16656
2014,Male,69,17397
2015,Male,69,18852
2016,Male,69,19412
2017,Male,69,20090
2018,Male,69,20236
1926,Female,69,9990
1936,Female,69,9946
1946,Female,69,11469
1951,Female,69,11107
1961,Female,69,10082
1966,Female,69,11358
1971,Female,69,10707
1979,Female,69,13041
1981,Female,69,13320
1986,Female,69,13436
1991,Female,69,13369
1996,Female,69,13278
1997,Female,69,12857
1998,Female,69,12778
1999,Female,69,12914
2000,Female,69,12887
2001,Female,69,12623
2002,Female,69,12863
2003,Female,69,12927
2004,Female,69,13180
2005,Female,69,13361
2006,Female,69,13545
2007,Female,69,13424
2008,Female,69,14157
2009,Female,69,14529
2010,Female,69,14440
2011,Female,69,14843
2012,Female,69,16332
2013,Female,69,16929
2014,Female,69,17711
2015,Female,69,19056
2016,Female,69,19579
2017,Female,69,20263
2018,Female,69,20687
1926,Male,70,11184
1936,Male,70,10199
1946,Male,70,11236
1951,Male,70,11111
1961,Male,70,9820
1966,Male,70,9640
1971,Male,70,10739
1979,Male,70,10893
1981,Male,70,11900
1986,Male,70,11019
1991,Male,70,11449
1996,Male,70,10853
1997,Male,70,10907
1998,Male,70,10534
1999,Male,70,11103
2000,Male,70,11450
2001,Male,70,11699
2002,Male,70,11529
2003,Male,70,11857
2004,Male,70,12063
2005,Male,70,12318
2006,Male,70,12326
2007,Male,70,12624
2008,Male,70,12744
2009,Male,70,13290
2010,Male,70,13807
2011,Male,70,13709
2012,Male,70,14275
2013,Male,70,15440
2014,Male,70,16363
2015,Male,70,17061
2016,Male,70,18440
2017,Male,70,19060
2018,Male,70,19780
1926,Female,70,13068
1936,Female,70,11027
1946,Female,70,11163
1951,Female,70,11645
1961,Female,70,10617
1966,Female,70,10973
1971,Female,70,13122
1979,Female,70,11523
1981,Female,70,12979
1986,Female,70,12392
1991,Female,70,13570
1996,Female,70,13063
1997,Female,70,13059
1998,Female,70,12728
1999,Female,70,12621
2000,Female,70,12727
2001,Female,70,12832
2002,Female,70,12516
2003,Female,70,12745
2004,Female,70,12833
2005,Female,70,13173
2006,Female,70,13224
2007,Female,70,13375
2008,Female,70,13195
2009,Female,70,13998
2010,Female,70,14342
2011,Female,70,14195
2012,Female,70,14636
2013,Female,70,16121
2014,Female,70,16710
2015,Female,70,17532
2016,Female,70,18904
2017,Female,70,19320
2018,Female,70,20019
1926,Male,71,6504
1936,Male,71,7712
1946,Male,71,10490
1951,Male,71,10508
1961,Male,71,9061
1966,Male,71,9187
1971,Male,71,9307
1979,Male,71,9551
1981,Male,71,10485
1986,Male,71,10863
1991,Male,71,10814
1996,Male,71,10615
1997,Male,71,10431
1998,Male,71,10433
1999,Male,71,10027
2000,Male,71,10638
2001,Male,71,10957
2002,Male,71,11094
2003,Male,71,11115
2004,Male,71,11459
2005,Male,71,11588
2006,Male,71,11670
2007,Male,71,11984
2008,Male,71,12338
2009,Male,71,12522
2010,Male,71,12979
2011,Male,71,13431
2012,Male,71,13411
2013,Male,71,13953
2014,Male,71,15118
2015,Male,71,15993
2016,Male,71,16763
2017,Male,71,18064
2018,Male,71,18714
1926,Female,71,7394
1936,Female,71,8080
1946,Female,71,10505
1951,Female,71,10685
1961,Female,71,9837
1966,Female,71,10269
1971,Female,71,11177
1979,Female,71,10411
1981,Female,71,11581
1986,Female,71,12904
1991,Female,71,13017
1996,Female,71,12824
1997,Female,71,12777
1998,Female,71,12734
1999,Female,71,12372
2000,Female,71,12281
2001,Female,71,12307
2002,Female,71,12432
2003,Female,71,12317
2004,Female,71,12592
2005,Female,71,12644
2006,Female,71,12844
2007,Female,71,13002
2008,Female,71,13181
2009,Female,71,13032
2010,Female,71,13819
2011,Female,71,14148
2012,Female,71,14007
2013,Female,71,14425
2014,Female,71,15897
2015,Female,71,16500
2016,Female,71,17327
2017,Female,71,18660
2018,Female,71,19084
1926,Male,72,7437
1936,Male,72,8336
1946,Male,72,10179
1951,Male,72,9587
1961,Male,72,9044
1966,Male,72,8368
1971,Male,72,9014
1979,Male,72,9116
1981,Male,72,9520
1986,Male,72,9841
1991,Male,72,9701
1996,Male,72,10084
1997,Male,72,10061
1998,Male,72,9968
1999,Male,72,9874
2000,Male,72,9518
2001,Male,72,10115
2002,Male,72,10470
2003,Male,72,10792
2004,Male,72,10852
2005,Male,72,11255
2006,Male,72,11254
2007,Male,72,11276
2008,Male,72,11695
2009,Male,72,12103
2010,Male,72,12345
2011,Male,72,12712
2012,Male,72,13124
2013,Male,72,13090
2014,Male,72,13628
2015,Male,72,14794
2016,Male,72,15668
2017,Male,72,16387
2018,Male,72,17738
1926,Female,72,9266
1936,Female,72,9398
1946,Female,72,10181
1951,Female,72,10331
1961,Female,72,10174
1966,Female,72,9694
1971,Female,72,10786
1979,Female,72,10411
1981,Female,72,10768
